Timestamp,How many years of software development experience do you have?,In what technologies are you proficient?,What university degree did you obtain?,"If applicable, what university(ies) did you attend?","What percentage of your work time do you spend developing software as opposed to performing other tasks like managing other people or projects, making sales, etc.?",Please select all that apply:,Referring to the company or project that you work for most of the time:,"If applicable, how many full-time employees does the company that you work for have?","If applicable, what's your job title at the company that you work at?","Excluding equity, how much money do you earn on a monthly basis?","Are you earning equity (stock, stock options, etc.)?"
1/18/2015 23:57:01,2 to 3 years,"HTML/CSS, Javascript, Ruby",Ingeniero de Sistemas,UNASAM,20%,"I am employed full-time, I am an entrepreneur",It's a multinational with presence in Colombia,< 10 employees,Programador Junior,USD$1 - USD$999,No
1/15/2015 10:57:21,5 to 6 years,"C++, Java, Mobile apps (Android), SQL, UML",Ingeniero de Sistemas,Pontificia Universidad Javeriana Bogotá ,90%,I am employed full-time,It's a multinational with presence in Colombia,100 to 199 employees,Software Engineer I,USD$1 - USD$999,No
1/16/2015 4:38:57,7 to 8 years,"HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Objective-C, SQL, UML",Ingeniero de Sistemas,EAFIT,80%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's exclusively a Colombian company,200 to 499 employees,Ingeniero de Desarrollo,"USD$1,000 - USD$1,999",No
1/15/2015 18:51:10,5 to 6 years,"BPMN, HTML/CSS, Java, Javascript, UML",Ingeniero de Sistemas,,70%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,100 to 199 employees,Senior Architect,"USD$3,000 - USD$3,999",No
1/15/2015 10:44:39,> 10 years,"Java, PHP, UML",Ingeniero de Sistemas,Universidad del Valle,10%,I am employed full-time,It's exclusively a Colombian company,10 - 19 employees,,"USD$1,000 - USD$1,999",No
1/16/2015 4:04:15,4 to 5 years,Ruby,Ingeniero de Sistemas,Eafit,90%,I am employed full-time,It's a company located outside of Colombia,200 to 499 employees,Software Engineer,"USD$6,000 - USD$6,999",No
1/16/2015 8:07:10,< 1 year,"C, C#, C++, Java, Python",Ingeniero en Multimedia,Universidad Militar Nueva Granada,70%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a multinational with presence in Colombia,< 10 employees,Computer vision developer,"USD$1,000 - USD$1,999",No
1/15/2015 13:18:00,7 to 8 years,"Javascript, PHP",Ingeniero de Sistemas,Javeriana Cali,50%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,CTO,USD$1 - USD$999,Yes
1/16/2015 6:35:33,7 to 8 years,"ASP .NET, Assembly, C#, C++, Python, SQL",Ingeniero de Sistemas,Universidad Nacional de Colombia,100%,I am employed full-time,It's exclusively a Colombian company,10 - 19 employees,Software Architect,"USD$2,000 - USD$2,999",No
1/16/2015 4:39:15,> 10 years,"C++, Java, Javascript, Mobile apps (Android), PHP, SQL, UML",Ingeniero de Sistemas,Universidad Nacional,90%,I am employed full-time,It's a company located outside of Colombia,>= 1000 employees,Software Developer Engineer,"> USD$10,000",Yes
1/15/2015 16:01:07,3 to 4 years,"ASP .NET, C#, HTML/CSS, Javascript, Matlab",Ingeniero de Sistemas,Universidad de Medellín,50%,I am employed full-time,It's exclusively a Colombian company,50 to 99 employees,Ingeniero Desarrollador,"USD$1,000 - USD$1,999",No
1/15/2015 12:57:07,> 10 years,"Assembly, C, C++, Matlab, Visual Basic",Ingeniero de Mecatrónica,Universidad Autónoma de Occidente,40%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,Project Manager,"USD$2,000 - USD$2,999",No
